00:00:00:24	00:00:01:23	00:00:00:29	>> Tomorrow on
00:00:01:23	00:00:03:06	00:00:01:13	The Social, the actor known for
00:00:03:06	00:00:04:12	00:00:01:06	starring in huge hits like The
00:00:04:12	00:00:06:09	00:00:01:27	OC and now Cardinal, Billy
00:00:06:09	00:00:08:08	00:00:01:29	Campbell.
00:00:10:26	00:00:15:19	00:00:04:23	[Audience cheers and applause]
00:00:15:19	00:00:17:26	00:00:02:07	>> Welcome back, everybody.
00:00:17:26	00:00:18:23	00:00:00:27	Alright, make sure you're
00:00:18:23	00:00:20:01	00:00:01:08	engaging with us right now in
00:00:20:01	00:00:21:06	00:00:01:05	real time online. We want to
00:00:21:06	00:00:22:11	00:00:01:05	share some news. Every time
00:00:22:11	00:00:23:09	00:00:00:28	there's something happening or
00:00:23:09	00:00:24:13	00:00:01:04	coming that we're really excited
00:00:24:13	00:00:26:09	00:00:01:26	and proud of, we do love to
00:00:26:09	00:00:27:28	00:00:01:19	share it with all of you. And
00:00:27:28	00:00:28:26	00:00:00:28	our President of Broadcasting
00:00:28:26	00:00:30:08	00:00:01:12	and Content for Bell Media, his
00:00:30:08	00:00:31:19	00:00:01:11	name is Randy Lennox, he is an
00:00:31:19	00:00:32:24	00:00:01:05	absolute legend in the music
00:00:32:24	00:00:34:06	00:00:01:12	industry. He is going to be
00:00:34:06	00:00:35:04	00:00:00:28	honoured for his extensive
00:00:35:04	00:00:37:12	00:00:02:08	contributions to Canada's music
00:00:37:12	00:00:38:12	00:00:01:00	scene, because it was just
00:00:38:12	00:00:39:10	00:00:00:28	announced a little earlier today
00:00:39:10	00:00:40:25	00:00:01:15	he'll be presented with the Walt
00:00:40:25	00:00:42:11	00:00:01:16	Grealis Special Achievement
00:00:42:11	00:00:43:29	00:00:01:18	Award happening at Juno week
00:00:43:29	00:00:45:10	00:00:01:11	and a huge gala. We want to send
00:00:45:10	00:00:47:08	00:00:01:28	you a huge congratulations,
00:00:47:08	00:00:48:21	00:00:01:13	Randy.
00:00:48:21	00:00:49:17	00:00:00:26	[Audience cheers and applause]
00:00:49:17	00:00:51:08	00:00:01:21	Yes, Very exciting.
00:00:51:08	00:00:54:07	00:00:02:29	And speaking of the Junos, the
00:00:54:07	00:00:56:19	00:00:02:12	2017 Juno Awards happen Sunday,
00:00:56:19	00:00:57:27	00:00:01:08	April 2nd. You can watch it
00:00:57:27	00:00:59:05	00:00:01:08	right here on CTV and we will
00:00:59:05	00:01:01:00	00:00:01:23	keep you posted as more
00:01:01:00	00:01:02:23	00:00:01:23	information about the show is
00:01:02:23	00:01:04:15	00:00:01:22	released. Big question that a
00:01:04:15	00:01:06:19	00:00:02:04	lot of people are pondering this
00:01:06:19	00:01:08:01	00:00:01:12	weekend is, well, should
00:01:08:01	00:01:09:24	00:00:01:23	real-live animals appear in film
00:01:09:24	00:01:11:06	00:00:01:12	and television or is
00:01:11:06	00:01:12:08	00:00:01:02	computer-generated imagery, or
00:01:12:08	00:01:13:20	00:00:01:12	CGI, the better option?
00:01:13:20	00:01:14:22	00:00:01:02	According to TMZ animal rights
00:01:14:22	00:01:16:04	00:00:01:12	activists-- animal rights
00:01:16:04	00:01:17:29	00:00:01:25	activists, that is, will
00:01:17:29	00:01:19:02	00:00:01:03	be picketing movie theatres
00:01:19:02	00:01:21:07	00:00:02:05	over the film A Dog's Purpose.
00:01:21:07	00:01:22:27	00:00:01:20	Recently a video surfaced of
00:01:22:27	00:01:24:12	00:00:01:15	what appears to be a frightened
00:01:24:12	00:01:25:15	00:00:01:03	German shepherd being forced
00:01:25:15	00:01:27:07	00:00:01:22	into a pool of rushing water
00:01:27:07	00:01:28:11	00:00:01:04	during the filming of the
00:01:28:11	00:01:29:06	00:00:00:25	movie.
00:01:29:06	00:01:31:08	00:00:02:02	[Audience booing]
00:01:31:08	00:01:32:21	00:00:01:13	So, the production company
00:01:32:21	00:01:34:03	00:00:01:12	told TMZ that they did not force
00:01:34:03	00:01:35:20	00:00:01:17	the dog to go through with the
00:01:35:20	00:01:37:03	00:00:01:13	stunt. Instead they called a
00:01:37:03	00:01:38:22	00:00:01:19	break, and filmed it once the
00:01:38:22	00:01:40:09	00:00:01:17	dog calmed down and was okay
00:01:40:09	00:01:42:03	00:00:01:24	with it. So this is a big
00:01:42:03	00:01:43:23	00:00:01:20	controversy because it's
00:01:43:23	00:01:45:03	00:00:01:10	affecting the film now. As the
00:01:45:03	00:01:46:24	00:00:01:21	actress on the panel, what's
00:01:46:24	00:01:47:24	00:00:01:00	your take on this?
00:01:47:24	00:01:49:23	00:00:01:29	>> It's interesting the CGI
00:01:49:23	00:01:51:16	00:00:01:23	option, because I shot a film
00:01:51:16	00:01:52:28	00:00:01:12	last summer and we had to-- we
00:01:52:28	00:01:54:10	00:00:01:12	had a scene with a bear. It was
00:01:54:10	00:01:55:14	00:00:01:04	supposed to scare us and the
00:01:55:14	00:01:56:24	00:00:01:10	director met with various
00:01:56:24	00:01:58:06	00:00:01:12	trainers, and in the end he
00:01:58:06	00:02:00:27	00:00:02:19	didn't trust them quite
